PRICE,BEDROOMS,FLOOR_AREA,BUILD_YEAR
305000,4,185,2015
210000,3,125,1992
530000,4,211,2006
480000,4,185,1982
375000,3,129,1994
372500,3,160,1980
980000,3,135,1989
1400000,3,189,1920
1210000,3,220,2002
508000,4,199,2003
315000,4,123,2014
561000,2,151,1900
1100000,3,172,1920
575000,3,129,1980
301000,4,104,1993
380000,3,116,1990
350000,3,96,1955
172000,3,135,2003
725000,4,239,2015
255000,3,90,1994
500000,4,191,2006
520000,3,167,1999
300000,3,104,1969
533000,3,167,1980
415000,4,137,2002
1645000,5,333,1974
655000,4,173,1982
307000,4,149,2002
405000,2,109,1981
458000,6,136,1989
335000,4,101,1990
451000,3,114,1989
719000,4,268,2006
726000,4,470,1979
2150000,5,375,2000
875000,2,421,1930
1200000,4,213,2012
550000,3,230,1989
525000,4,192,1994
577000,3,138,2010
305000,3,109,1981
385000,4,121,1984
650000,5,179,1977
530000,4,239,2008
555000,5,172,1995
550000,4,208,2009
555000,4,169,2000
565000,3,190,2005
800000,4,224,1993
580000,4,185,2003
365000,4,128,1992
990000,3,84,1966
375000,4,121,1998
358000,3,122,1997
435000,4,129,1996
1500000,5,467,2003
299000,4,154,1996
445000,3,155,2016
315000,4,164,1976
500000,4,160,2002
650000,3,240,2008
700000,4,250,2007
442000,3,115,1994
470000,3,100,1978
940250,5,330,1988
375000,3,81,1986
672500,4,209,2012
468000,4,184,1970
1050000,4,201,1992
470000,4,279,2005
360000,3,114,1989
220000,4,118,2013
950000,4,245,1983
464000,3,110,2013
1365000,4,293,1955
1500000,3,100,1974
300000,3,90,1975
278000,3,88,1977
1200000,4,438,2009
430000,4,197,1992
365000,4,125,1995
486000,3,150,2012
430000,3,124,2014
300000,3,98,1992
740000,5,176,1998
859000,4,315,2008
540000,4,199,2010
778000,4,182,1982
385000,3,91,1959
410000,2,83,1988
610000,5,274,2004
215000,3,110,1993
320000,3,152,1976
1050000,4,293,2001
370000,7,199,1975
540000,4,169,1998
462500,4,190,2010
438000,5,135,1996
467500,2,110,1951
500000,4,184,2015
1900000,5,352,1992
854000,3,189,2011
350000,4,141,1999
475000,4,158,1991
1115000,4,343,1980
800000,4,120,1977
385000,4,209,2005
176500,3,109,1977
360000,4,121,1972
625000,4,225,2004
582500,3,86,1930
2302500,5,235,1930
680000,4,210,1985
1400000,4,309,2003
610000,4,182,1990
554500,3,143,1992
420000,4,149,1998
950000,6,260,1976
780000,3,102,1974
505000,4,184,2010
515000,4,215,2003
345000,3,112,1990
460000,4,120,1987
1778000,5,388,2013
900000,4,315,2008
395000,5,227,2011
625000,3,164,1980
499000,4,216,1994
595000,4,255,2011
379000,4,210,1998
520000,4,166,2007
912000,4,323,1998
1000000,5,236,1990
407000,4,136,1992
470000,3,108,1960
440000,4,116,1985
520000,4,211,2000
440000,3,99,1997
415000,3,96,1979
419000,3,214,2005
307000,4,144,2015
515000,3,163,2001
670000,5,334,2013
330000,3,100,1958
539000,4,267,2006
370000,4,220,2006
1820000,5,344,2000
560000,4,194,2010
590000,3,115,1960
925000,5,283,1981
400000,3,106,1986
670000,4,167,1984
380000,3,104,2007
765000,4,181,1994
415000,4,154,1994
1700000,3,210,1964
520000,3,293,1964
400000,4,108,1999
1110000,4,226,1970
1150000,4,285,1992
480000,3,146,2015
915000,3,118,1952
620000,3,150,2016
705000,4,211,1990
932000,2,205,1982
482000,4,138,2000
589000,5,202,1987
320000,3,93,1972
350000,4,110,1975
820000,4,205,2011
790000,4,329,1995
504000,3,120,1983
1051000,3,145,1972
472000,3,139,2009
560000,5,159,1997
1390000,6,327,2006
520000,4,255,2004
462000,4,178,1981
550000,4,231,1999
600000,3,131,1923
1480000,4,428,1980
650000,4,249,2006
710000,4,182,1990
912000,3,70,1973
450000,4,226,2006
320000,3,150,2008
228750,3,133,2013
585000,5,286,1989
470000,3,104,1999
445000,4,205,2004
1300000,6,302,1978
765000,4,181,2000
597000,4,202,2008
490000,4,230,1997
512888,4,160,2009
465000,4,205,2000
2195000,4,477,2009
899000,4,324,2012
480000,3,180,2015
1300000,4,319,2002
418000,5,209,2006
350000,4,183,2006
575000,4,256,2005
512600,4,227,2002
275000,3,90,1972
770000,6,268,1988
1800000,4,230,1974
1555000,4,363,2002
360000,3,121,1992
579000,4,106,1972
420000,5,187,1994
370000,4,135,1993
323000,3,139,1990
845000,5,171,1910
500000,5,164,1990
928250,4,257,2010
300000,4,140,1993
400000,3,124,1950
500000,4,150,2003
450000,4,150,1994
730000,4,187,1994
905000,4,215,2012
429000,4,118,1996
370000,3,100,1970
465000,3,128,2006
680000,4,193,1992
826000,4,257,2000
420000,4,143,1994
560000,4,218,2010
725000,4,243,1997
600000,4,300,1995
450000,3,134,2003
515000,4,164,2009
1030000,4,458,2001
395000,4,158,1994
753000,5,375,1994
1600000,4,277,1979
270000,4,106,1969
1575000,5,219,1972
479100,4,193,2006
310000,3,138,1980
595000,4,324,2001
296000,2,84,1971
935000,3,214,1999
670000,4,198,1973
1200000,5,290,1988
370000,3,95,1990
435000,4,224,2014
1255000,5,192,2011
582000,4,228,1991
485000,4,160,1997
410000,3,130,1970
565000,4,181,1989
449000,3,250,2011
390000,3,126,1994
510000,4,177,2005
315000,4,141,2002
430000,4,154,1998
1250000,4,322,2001
740000,4,212,1997
595000,4,241,2004
560000,6,302,1990
402600,3,120,1998
345000,4,101,1986
357000,4,103,1993
378000,3,151,2006
300000,4,121,1989
775000,3,244,1995
785000,3,137,1920
385000,3,142,2012
1200000,5,237,1961
840000,4,159,1960
650000,4,220,1977
654000,4,216,1992
627500,4,179,1982
292500,3,112,1959
492000,4,245,2006
546000,4,185,2003
420000,4,147,1990
435000,3,142,1999
600000,4,234,2001
925000,3,164,2000
1550000,4,220,1973
540000,3,209,2009
480000,2,87,2008
455000,3,146,2009
419000,2,77,1970
960000,4,222,2003
950000,1,95,1968
640000,3,94,1987
407000,3,101,1990
230000,2,81,1976
555000,3,82,1989
156500,3,79,1992
482000,3,89,1999
315000,3,79,1989
430000,3,114,1948
615000,3,124,2007
807000,3,154,1992
325000,3,97,2003
850000,3,167,1984
400000,3,139,2011
640000,3,200,2006
341500,3,131,1994
450000,3,119,2009
340000,3,107,1994
625000,3,116,1981
339000,3,120,1992
422000,2,78,1991
766000,4,188,2005
370000,3,106,1967
140000,2,65,1974
640000,4,251,1995
680000,3,130,1928
408000,3,122,2006
387000,3,116,1967
742000,2,105,1994
300000,2,86,1993
721000,5,127,1962
370000,3,99,1995
500000,3,120,1963
335000,3,115,2008
485000,3,13,1979
525000,4,170,1956
685000,3,123,1993
450000,3,100,1988
1250000,4,238,1997
395000,3,108,1996
292000,2,82,1992
655000,3,144,2002
410000,3,110,1994
670000,2,62,1964
338000,2,70,1986
310000,2,79,1991
432000,3,101,1995
357500,3,116,1989
432000,3,98,1952
475000,3,93,1970
530000,4,133,2003
440000,2,74,1980
600000,4,250,2010
435000,4,113,2006
430000,2,82,1987
370000,3,120,1993
1026000,3,160,2009
445000,2,83,1986
508000,4,181,2001
450000,3,149,2007
400000,1,73,2009
1100000,3,176,1920
755000,4,139,1998
780000,3,223,2001
1250000,3,181,2008
370000,3,109,2000
495000,2,91,1976
420000,3,84,1985
675000,3,162,1989
335000,3,86,1994
160000,2,74,1985
880000,4,170,2012
585000,3,100,1949
315000,3,115,1985
341000,3,87,1990
565000,3,110,2004
360000,3,86,1995
400000,4,108,2008
465000,4,137,2014
490000,3,115,1989
430000,3,177,1960
334000,3,97,1981
415000,2,75,1988
337500,3,114,1946
730000,3,137,1994
316000,3,84,1994
630000,3,127,1996
167500,3,99,2004
359000,3,117,1989
525000,3,135,1993
715000,3,176,2014
405000,2,114,1969
364000,4,175,2015
440000,3,125,2000
625000,3,110,1990
320000,3,88,1986
420000,3,123,1991
975000,3,236,1999
370000,2,89,1987
355000,2,68,1975
2300000,3,184,1980
515000,3,127,1994
665000,2,119,1984
330000,3,100,1994
365000,3,126,1995
600000,3,129,1994
470000,2,130,2013
400000,2,100,2010
370000,3,126,1963
360000,3,97,2007
375000,3,167,2015
720000,4,170,2012
494000,3,90,1989
409500,3,109,1994
378000,3,78,1976
300000,3,77,1971
530000,4,182,2008
360000,3,107,1994
777000,3,154,1997
450000,2,73,1986
555000,4,160,1971
213000,3,135,1971
560000,4,210,2002
1730000,2,538,1976
455000,4,200,2004
250000,3,139,2001
332000,3,140,1980
578000,5,212,1979
450000,3,145,1955
291000,3,104,2013
385000,3,133,2012
435000,4,146,1995
530000,4,203,2016
495000,4,160,2005
380000,4,121,1974
550000,3,152,1982
455000,4,147,2002
389000,3,122,1990
360000,4,190,2004
505000,4,235,2005
485000,4,193,2015
600000,4,212,2006
700000,4,242,2008
318000,4,185,2005
1690000,5,190,1981
430000,5,198,2006
832000,5,255,1960
380000,3,122,1995
1140000,4,347,2001
340000,4,173,2011
537000,4,305,2007
406000,3,117,1993
530000,4,189,1996
375000,4,192,2003
350000,3,164,2011
610000,4,265,2007
160000,2,87,1965
370000,4,142,1992
895000,4,288,2004
539000,4,224,2005
395000,4,128,2003
695500,4,247,2011
185000,4,191,2010
445000,4,173,2014
549000,5,220,2008
966000,3,100,1965
415000,3,116,1995
320000,4,180,1978
545000,4,148,1999
240000,3,91,1978
430000,4,108,1996
333000,3,134,2007
670000,5,275,2006
430000,4,159,1991
350000,3,137,1973
450000,4,122,1985
510000,3,158,2006
380000,3,98,1985
1188000,4,218,1958
272000,3,132,2014
432500,3,122,1969
289000,3,120,1985
665000,4,237,2013
679000,4,211,2002
400000,4,146,1996
510000,4,82,1972
265000,3,90,1965
430000,3,145,2008
560000,4,181,1989
585000,4,201,2001
1850000,5,370,2003
490000,4,157,1989
1475000,4,346,1955
1250000,3,210,1957
476000,3,125,1980
1000000,5,294,1991
522000,4,169,1979
196000,4,180,2013
520000,4,122,1989
331500,3,109,1994
1620000,5,339,2009
330000,4,148,1989
555000,4,209,2007
396000,4,134,2014
1810000,4,255,1996
421000,4,149,1995
830000,3,124,1952
330000,3,98,2004
390000,4,150,1994
1600000,4,300,2002
220000,3,106,1972
362000,4,120,1976
167000,3,151,2015
1390000,4,298,2006
570000,4,245,2007
635000,4,150,1976
507500,4,150,2002
785000,4,261,2003
2400000,4,420,2012
860000,4,243,2012
680000,4,224,1992
740000,4,280,2007
382000,3,103,1955
470000,4,224,2005
730000,4,256,2009
367000,4,138,1990
375000,3,126,2001
481000,3,130,1993
310000,4,161,1973
651000,4,227,1985
645000,4,280,1998
705000,4,237,2006
355500,4,194,2004
442500,4,201,1983
1030000,4,204,2006
455000,4,224,2005
390000,3,170,2006
179000,3,159,2015
550000,4,184,1993
780000,5,225,1991
1600000,4,191,1900
430000,4,134,1995
845000,3,131,1920
560000,4,207,2012
480000,4,190,2001
460000,3,130,2006
780000,3,164,1997
555000,4,190,2013
475000,4,183,2013
1025000,4,199,1958
920000,4,240,1994
160000,4,103,1989
600000,4,200,1956
453500,4,127,1986
610000,3,89,1970
575000,4,254,2005
470000,4,285,2005
510000,4,184,2014
358000,4,166,1981
1500000,5,500,2011
520000,4,270,1999
410000,4,148,2005
1350000,4,255,1935
855000,4,189,1994
925000,5,302,1980
700000,4,293,1996
385000,3,120,1973
1920000,5,390,1976
1240000,4,481,2008
750000,4,197,1981
660000,4,251,2007
530000,3,205,2011
325000,4,143,2006
565000,4,226,2009
597000,5,237,2002
760000,4,284,2003
400000,3,135,1987
476500,3,128,1970
500000,4,139,2004
568000,4,223,2009
505000,3,91,1969
600000,5,225,2004
365000,3,90,1987
245000,3,105,2012
570000,4,236,2008
675000,4,170,1995
448000,3,119,1974
355000,4,224,2016
570000,3,163,1994
730000,3,132,2002
316500,3,109,1994
750000,3,153,1996
615750,3,120,1978
450000,4,123,1995
168000,4,125,1993
295000,3,94,1981
435000,4,153,2002
685000,4,219,1990
535000,4,185,2000
510000,4,140,1972
830000,3,152,1996
426000,4,120,1996
559900,4,255,2013
550000,4,211,2003
345000,4,132,1997
394000,4,223,2006
715000,4,218,2002
597000,4,179,1988
1685000,4,170,1955
590000,3,160,2007
820000,3,97,1950
500000,4,195,2012
1080000,4,225,2012
605000,4,234,2002
446000,3,112,1981
690000,4,435,1990
2070000,4,377,2007
503000,3,161,2014
880000,4,259,1998
1700000,3,165,1996
410000,4,132,1989
455000,4,161,2000
545000,3,210,2003
250000,4,170,2015
385000,4,184,2008
570000,4,192,2006
860000,4,206,1975
572500,4,176,1995
384000,3,140,2009
1317500,4,191,1920
472000,5,183,1989
507000,3,146,1980
435000,3,120,1982
380000,4,135,1993
435000,2,140,1976
550000,4,172,2008
365000,4,119,1989
212000,3,95,1965
500000,4,241,2005
406500,3,143,2011
405000,4,135,1975
1160000,5,275,1910
1895000,4,357,2006
235000,2,94,1920
511250,4,151,1999
505000,3,124,1963
960000,4,264,2003
595142,4,145,1985
375000,4,128,1994
472000,4,214,2003
412000,3,137,2014
680000,4,196,2003
550000,3,164,1998
520000,3,197,2000
1525000,4,261,1995
480000,4,165,1992
440000,4,113,1994
852500,5,401,1988
370000,4,155,2007
875000,2,125,1952
1775000,3,238,1960
550000,4,181,2006
620000,3,215,1990
505000,3,115,1939
470000,3,93,1966
393000,4,154,2003
957000,5,314,1989
370000,3,105,1989
668000,4,221,1997
535000,4,237,2006
380000,3,124,1976
500000,4,192,2015
1200000,5,307,1997
360000,4,222,2005
422500,3,101,1984
650000,4,197,2011
473200,4,221,2004
545000,4,155,1978
545000,4,115,1969
1650000,5,416,1986
471000,4,220,2010
385000,4,139,1992
630000,4,231,2006
350000,4,202,2006
285000,3,88,1994
310000,3,120,1984
320000,4,149,1995
1850000,4,525,2005
630000,4,231,2001
670000,5,264,2010
1250000,4,162,1970
370000,4,200,2006
740250,3,175,1955
740000,4,200,1995
870000,4,200,2001
300000,3,142,2007
630000,4,181,1975
505000,4,140,1980
720000,4,199,1988
590000,4,202,2005
340000,3,104,1970
450000,3,88,2015
612500,4,241,1979
945000,4,203,2011
1430000,4,232,1988
225000,4,121,1996
628000,4,208,2002
862000,4,192,1978
344000,3,90,2002
540000,4,223,2010
1225000,4,291,2003
396000,4,162,1977
665000,4,302,1979
815000,3,192,1958
405000,3,123,1972
595000,3,100,1962
585000,4,205,1981
385000,4,118,1986
710000,3,160,1900
436000,4,214,2001
505000,4,139,1997
795000,4,225,2006
355000,4,159,2015
507500,2,106,1977
1170000,4,133,1994
2060000,3,160,1935
670000,4,161,1962
490000,3,144,1965
1500000,3,124,1951
710000,4,173,1998
525000,3,91,1960
546000,4,150,2003
315000,3,113,2008
800000,4,293,2004
1216000,4,138,1930
435000,4,174,2013
500000,4,200,2013
411000,4,140,1995
1900000,3,185,2002
775000,4,156,1910
490000,3,160,1978
198000,3,132,2015
315000,3,104,2015
857500,4,223,2012
420000,4,162,1979
340000,4,125,1996
560000,4,180,1981
685000,4,218,1999
720000,5,216,1990
840000,4,245,2000
368000,4,156,1970
1660000,5,290,1980
560000,3,190,1977
940000,3,156,1990
997500,4,232,1986
1250000,5,294,2001
835000,4,223,1974
635000,4,223,2006
421000,4,153,1985
748000,4,255,2000
422500,4,159,2007
965000,5,300,2005
1648000,5,273,1997
1346666,3,236,2012
565000,5,186,2007
410000,3,171,2007
436000,4,196,2009
850000,4,330,1993
440000,4,169,1997
460000,4,135,1993
1545000,4,276,1995
500000,4,207,2005
325000,4,142,1975
450000,4,177,2004
683000,4,237,2011
330000,4,124,1976
575000,4,187,1995
910000,7,384,1993
755000,4,178,1997
867500,3,174,1970
635000,4,152,2007
470000,4,234,2007
440000,3,146,1972
598000,4,135,1977
649000,4,207,1995
432000,3,87,1964
485250,3,222,2004
700000,4,210,1998
415000,3,180,1994
550000,4,216,2001
320000,3,84,1953
237500,3,120,1970
600000,4,193,1980
440000,3,174,2012
900000,4,250,1988
805000,4,247,2006
672000,3,130,2002
329000,4,183,2015
403000,3,136,1983
465000,4,171,2013
475000,4,198,2000
437000,4,245,2005
400000,3,125,1985
500000,4,212,2006
830000,5,210,1993
467000,4,193,1998
977500,5,380,1992
645000,3,97,2000
375000,4,137,2006
355000,4,172,2001
665000,5,238,1986
396000,4,155,1997
785000,4,267,1999
340000,3,113,2013
937000,4,342,2008
920000,2,353,2011
87140,5,256,2004
512000,5,261,2013
1180000,4,196,1965
343000,3,155,2004
535000,4,196,2008
817000,4,306,2006
385000,7,159,1989
480000,4,197,2006
1700000,5,355,2009
645000,4,239,2005
760000,4,240,2007
420000,4,135,1991
365000,4,151,1996
405000,5,168,1999
810000,4,220,1997
260000,4,156,1989
291000,4,143,1995
355000,3,105,1978
585000,4,264,2003
222500,3,139,1970
475000,4,157,1998
600000,4,221,2015
570000,3,174,1976
1175000,4,226,1999
930000,4,215,1982
520000,4,225,2000
590000,4,230,1999
295000,3,96,1974
375000,3,111,1995
630000,4,200,1990
510000,3,158,2003
720000,3,135,2004
515000,4,210,2004
533000,3,129,1960
1330000,1,322,2014
408000,2,98,1970
375000,3,99,1989
532000,4,203,2003
510000,4,165,2000
225000,3,131,1969
380000,4,155,2000
760000,4,210,1998
550000,3,168,1981
280000,3,93,1953
380000,3,125,1976
550000,3,135,1930
375000,4,140,2004
550000,4,226,2013
630000,4,185,2004
430000,3,124,1987
561000,4,142,1984
425000,4,200,1985
1550000,4,272,2015
998000,3,136,1993
620000,4,138,1972
1500000,5,289,1900
537000,4,225,2007
1425010,4,218,2005
670000,4,250,1989
301500,3,75,1990
285000,4,160,1985
840000,3,191,1975
1175000,4,342,1987
410000,4,150,1979
515000,4,227,2005
1765000,4,450,2015
460000,3,209,2002
370000,4,196,2004
620000,2,143,1960
1000000,3,247,2010
165000,4,181,2015
360000,3,165,2015
560000,4,228,2014
320000,3,91,1993
647500,4,249,2008
540000,4,241,2007
408100,3,137,2012
347000,3,101,1985
270000,4,136,1975
625000,4,213,2014
580000,4,159,1995
609000,4,265,1999
341250,4,155,2014
460000,4,163,1993
795000,3,217,2006
600000,4,182,1987
485000,4,247,2008
800000,4,287,2003
300000,3,91,1998
456000,4,169,1992
370000,4,202,2015
265000,4,133,1998
495000,3,118,1982
640000,4,260,1996
1450000,4,260,2004
370000,3,91,1990
435500,4,135,1988
1125000,4,350,1989
1950000,4,170,1927
820000,4,277,1997
350000,4,170,1987
410000,4,139,1999
272000,3,117,2006
325000,4,191,2001
398000,4,165,2004
485000,3,237,2010
460000,4,161,2001
685000,5,253,2000
370000,4,143,1993
405000,3,106,1989
350000,3,110,1980
425000,5,179,1998
370000,4,151,2006
580000,3,130,1975
312000,3,130,2000
600000,4,249,1995
570000,3,292,1971
540000,4,171,2008
1550000,4,384,2011
1210000,5,233,1971
459000,4,181,2003
545000,4,239,2011
519000,4,203,2003
790000,5,158,1990
610000,4,185,1993
1450000,5,392,2002
385000,4,146,2007
307000,4,170,1993
885000,5,236,1986
492000,4,156,1983
395000,3,89,2000
399000,3,99,1999
510000,4,229,2009
315000,3,98,1993
760000,5,247,1989
472500,4,235,2008
315000,3,139,2010
420000,4,211,1972
415000,4,205,1995
440000,4,141,2008
465000,3,159,2002
412500,3,132,1970
428000,3,99,1950
1170000,5,241,1989
385000,4,133,1995
800000,4,199,1962
375000,3,140,1990
465000,4,192,2000
535000,5,246,2001
410000,4,183,2006
905000,4,228,1980
461000,3,117,1930
651000,4,205,1995
320000,2,93,1920
629000,4,178,1980
240000,3,99,1967
695000,4,198,1988
505000,4,259,2012
435000,4,138,1986
510000,4,149,2001
550000,4,199,1998
270000,4,142,1993
760000,4,190,1985
420000,4,194,2001
920000,4,264,2015
325000,3,98,1980
315000,3,103,2007
850000,4,242,2000
2250000,5,470,2008
265000,4,150,1971
514000,4,243,1989
945000,4,167,1979
495000,3,174,2014
547000,4,205,2004
360000,4,106,1990
580000,3,128,2001
780000,4,314,2005
1220000,4,246,1984
950000,5,289,1992
215000,3,98,1978
600000,2,149,1935
800000,4,248,1988
335000,3,135,2008
415000,4,201,2006
655000,4,216,1994
450000,3,140,2005
420000,4,170,1995
415000,4,121,2003
400000,3,127,1973
450000,3,135,1976
680000,4,228,2004
720000,4,254,2005
640000,4,217,2013
390000,4,153,2003
547500,3,115,1984
590000,4,233,2004
262500,2,246,1930
315000,3,101,2005
645000,5,257,2008
455000,4,145,1996
1325000,4,497,2007
275000,4,143,2010
520000,4,225,2006
675000,5,285,2008
325000,4,171,2010
625000,3,131,1980
850000,6,291,2008
627500,4,145,1974
2100000,5,298,1998
355000,3,90,1977
650000,5,220,2012
495000,4,124,2014
395000,4,179,1998
1050000,4,256,2009
449000,3,92,1962
477500,4,155,2000
800000,4,280,1992
570000,4,250,1998
965000,3,477,1969
820000,4,269,1994
449500,3,150,2015
660000,4,234,1994
535000,4,176,1986
640000,3,150,2006
1950000,4,272,2012
555000,4,180,2001
370000,3,131,2013
1510000,4,254,1973
702000,4,267,1978
535000,4,172,1987
705000,4,228,1999
400000,3,111,1990
455000,3,92,1983
300000,3,150,1961
497500,4,139,1998
550000,2,111,1984
504000,5,265,2008
425000,3,120,1976
315000,4,110,1988
767500,4,211,1988
260000,3,112,2001
1367000,5,269,1970
600000,3,100,1950
502000,4,188,2008
448000,4,115,1990
505000,3,166,1970
475000,4,155,1972
930000,4,304,2001
475000,4,164,1999
290000,4,112,2002
280000,3,92,1976
1155000,4,186,1952
400000,4,94,1989
938000,4,225,1989
377000,4,127,1998
563000,3,130,1976
682000,4,231,2014
570000,4,218,2000
460000,4,190,2002
348000,4,102,1970
800000,4,254,1989
360000,2,70,2008
300000,2,75,1987
270000,2,81,2005
272000,2,79,1985
405000,3,122,2011
355000,3,150,2010
249500,2,60,1985
310000,3,95,1991
276500,2,90,1993
425000,3,107,2001
305000,2,85,2012
250000,3,121,2009
260000,2,76,1989
239000,3,104,1993
193000,3,90,1988
480000,3,89,1976
222000,2,77,2007
440000,2,116,2000
385000,3,86,2006
255000,2,68,1989
430000,3,191,2015
610000,3,131,1990
426000,2,77,1987
565000,4,244,2000
275000,3,106,1994
457500,4,178,2007
167000,3,121,2014
1250000,4,398,2006
665000,4,153,1978
269000,4,131,1993
280000,4,123,2002
450000,3,159,2004
1330000,4,147,1920
905000,3,163,1990
1760000,4,198,1947
730000,4,196,2009
680000,4,232,2010
830000,3,184,1988
542000,4,228,2006
467500,3,124,1950
615000,4,160,1979
620000,4,240,2004
1050000,4,244,2004
1795000,4,282,1953
410000,3,93,1935
467000,4,146,2000
492500,3,138,1974
688000,3,87,1960
695000,3,132,1985
481000,3,99,1994
452000,4,182,2004
620000,3,137,1992
547250,3,116,1973
640000,4,177,1999
785000,4,278,1982
270000,2,103,1960
820000,2,104,1965
563000,3,107,1961
1385000,4,291,2012
419000,4,183,2004
1495000,3,204,1930
890000,6,295,2000
720000,3,171,1900
1225800,4,311,1998
580000,4,152,1969
750000,3,207,1988
765000,3,100,1950
860000,3,148,1996
690000,4,196,2002
1100000,4,297,2007
600000,3,139,1999
601000,3,101,1987
410000,3,142,1977
520000,4,206,2004
470000,4,199,2014
530000,3,213,2005
1100000,4,263,2013
825000,4,281,2011
880000,4,141,1957
625000,2,97,1982
659000,3,134,1936
365000,4,150,2013
1125000,4,148,1950
407000,3,97,1965
945000,4,276,2014
271000,4,216,2016
375000,3,155,1953
1615000,3,216,1930
1045000,4,205,1979
